Region and country of last residence,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
Denmark,606,15,289,279,19,D,D
Djibouti,77,D,D,26,3,45,-
Dominica,474,84,D,379,D,D,1
Dominican Republic,"49,381","20,596",414,"28,159",15,169,28
Ecuador,"12,083","3,080","1,293","7,290",17,352,51
Egypt,"10,810",668,683,"3,245","3,381","2,795",38
El Salvador,"19,342","6,777",727,"8,529",-,687,"2,622"
Eritrea,975,23,45,216,179,511,1
Estonia,295,14,31,182,17,45,6
Ethiopia,"14,674",545,125,"6,323","3,707","3,961",13
Fiji,"1,153",216,14,514,278,129,2
Finland,421,20,165,205,25,5,1
France,"4,882",162,"2,160","2,177",316,54,13
French Guiana,10,D,D,D,-,-,-
French Polynesia,33,-,6,27,-,-,-
Gabon,363,-,9,82,12,260,-
Gambia,"1,061",28,33,670,12,269,49
Georgia,"1,358",11,119,701,283,231,13
Germany,"8,612",374,"2,353","4,663",940,254,28
Ghana,"9,936",408,311,"5,424","1,651","2,133",9
Greece,"1,076",64,164,561,185,97,5
Grenada,724,141,30,549,D,D,D
Guadeloupe,23,D,D,19,-,-,-
Guatemala,"11,881","2,792",662,"5,588",-,957,"1,882"
Guinea,"2,872",18,27,419,95,"2,261",52
Guinea-Bissau,23,-,-,15,-,7,1
Guyana,"6,326","3,111",120,"3,030",15,32,18
Haiti,"23,994","7,098",142,"10,917",3,"5,353",481
Honduras,"6,290","1,759",408,"3,693",14,253,163
Hong Kong,"3,389","1,615",518,"1,171",41,38,6
Hungary,"1,295",28,232,906,108,12,9
Iceland,130,D,57,68,D,-,-
India,"54,360","12,204","18,881","20,608",67,"2,332",268
Indonesia,"3,455",171,586,"1,532",99,"1,038",29
Iran,"8,840","2,089",807,"3,748",936,"1,240",20
Iraq,"4,071",116,"1,906",809,12,"1,224",4
Ireland,"1,708",21,508,"1,077",86,6,10
Israel,"6,208",280,"2,255","3,377",182,96,18
Italy,"3,143",160,822,"1,824",231,91,15
Jamaica,"21,494","4,723",562,"16,135",8,36,30
Japan,"8,218",133,"2,632","5,167",238,34,14
Jordan,"7,850","1,324",287,"3,043",78,"3,100",18
Kazakhstan,"1,343",16,78,805,127,245,72
Kenya,"21,335",197,442,"3,467","2,381","14,829",19
Kiribati,10,-,-,D,D,-,-
"Korea, North",21,-,D,13,-,D,-
"Korea, South","25,561","1,623","13,505","10,325",54,20,34
Kuwait,869,144,108,546,37,34,-
Kyrgyzstan,524,4,20,240,103,114,43
Laos,"1,396",78,D,"1,092",D,162,1
Latvia,440,7,30,311,23,59,10
Lebanon,"4,007",956,502,"2,022",72,450,5
Lesotho,22,-,3,14,4,-,1
Liberia,"3,695",192,36,"1,007",751,"1,696",13
Libya,215,3,13,169,18,10,2
Lithuania,"1,049",31,92,797,90,33,6
Luxembourg,27,D,18,D,-,D,-
Macau,254,189,D,49,D,-,-
Macedonia,"1,250",142,64,673,195,170,6
Madagascar,60,D,D,41,9,D,-
Malawi,168,6,16,125,13,7,1
Malaysia,"5,912",103,661,854,50,"4,242",2
Mali,608,7,20,336,21,160,64
Malta,73,D,7,30,D,32,-
Marshall Islands,61,D,16,40,-,D,-
Martinique,19,D,10,D,-,-,-
Mauritania,413,D,D,64,3,341,2
Mauritius,99,8,34,43,9,5,-
Mexico,"164,067","57,080","8,461","95,915",17,604,"1,990"
"Micronesia, Federated States",20,-,9,11,-,-,-
Moldova,"2,238",26,67,561,216,989,379
Monaco,10,D,D,6,D,-,-
Mongolia,743,D,87,336,100,214,D
Montserrat,36,9,D,22,-,D,-
Morocco,"5,235",219,186,"2,750","2,055",19,6
Mozambique,59,D,11,34,-,11,D
Namibia,70,-,7,34,-,29,-
Nepal,"5,008",140,667,"1,016","1,705","1,469",11
Netherlands,"1,695",55,681,805,121,28,5
Netherlands Antilles,121,18,20,80,D,D,-
New Caledonia,13,-,-,13,-,-,-
New Zealand,"1,127",108,297,624,93,D,D
Nicaragua,"4,029",838,64,"2,766",20,195,146
Niger,186,3,4,152,17,10,-
Nigeria,"14,685","1,380",579,"8,932","3,621",143,30
Norway,429,14,114,276,21,D,D
Oman,140,28,35,47,27,3,-
Pakistan,"21,731","8,674","2,818","9,323",28,844,44
Palau,21,-,D,15,-,D,-
Panama,"1,846",266,101,"1,404",10,60,5
Papua New Guinea,20,-,D,11,5,D,-
Paraguay,551,27,83,407,3,31,-
Peru,"16,706","2,694","1,234","11,816",D,881,D
Philippines,"58,107","14,090","7,906","35,874",D,174,D
Poland,"8,384","1,594","1,148","5,561",6,30,45
Portugal,966,98,133,706,13,12,4
Qatar,269,30,39,164,26,10,-
Romania,"4,557",253,770,"3,058",311,146,19
Russia,"10,362",234,"1,804","3,749",272,"4,213",90
Rwanda,336,-,5,51,29,251,-
Saint Kitts-Nevis,310,96,18,193,3,-,-
Saint Lucia,"1,032",175,31,820,4,-,2
Saint Vincent and the Grenadines,543,110,D,423,D,-,-
Samoa,220,17,4,192,6,-,1
Saudi Arabia,"1,650",309,247,731,164,197,2
Senegal,"1,700",65,70,"1,056",121,360,28
Serbia and Montenegro,"2,999",133,188,"1,754",324,587,13
Sierra Leone,"1,988",82,25,859,223,788,11
Singapore,"1,378",79,811,429,36,19,4
Slovakia,675,18,170,439,41,4,3
Slovenia,104,-,19,70,6,8,1
Somalia,"1,695",5,D,199,D,"1,487",-
South Africa,"3,175",84,"1,197","1,503",312,70,9
Soviet Union (former),"5,026",54,31,"4,554",9,110,268
Spain,"2,118",87,624,"1,113",90,200,4
Sri Lanka,"1,812",107,413,540,487,263,2
Sudan,"1,457",23,26,551,311,545,1
Suriname,214,53,D,133,-,D,1
Swaziland,43,D,8,29,D,3,-
Sweden,"1,297",65,447,700,65,16,4
Switzerland,"1,015",39,458,403,96,14,5
Syria,"4,775",750,528,"1,294",32,"2,164",7
Taiwan,"8,105","1,963","2,397","3,488",241,10,6
Tajikistan,268,D,D,88,64,96,11
Tanzania,"5,048",56,94,467,77,"4,351",3
Thailand,"18,152",213,603,"4,676",52,"12,561",47
Togo,"1,562",68,20,479,374,619,2
Tonga,353,81,D,238,25,-,D
Trinidad and Tobago,"6,214","1,195",341,"4,567",66,16,29
Tunisia,377,7,31,284,50,D,D
Turkey,"7,943",167,"1,265","2,330","1,032","3,140",9
Turkmenistan,277,D,D,84,60,108,1
Turks and Caicos Islands,37,7,-,30,-,-,-
Uganda,"1,657",56,76,598,148,775,4
Ukraine,"10,790",274,654,"4,299","1,553","2,785","1,225"
United Arab Emirates,"1,499",337,325,499,191,144,3
United Kingdom,"17,417",800,"7,656","8,509",376,30,46
Uruguay,"1,727",46,159,"1,353",D,166,D
Uzbekistan,"4,313",26,100,770,"2,424",969,24
Venezuela,"11,392",417,"2,829","5,622",214,"2,290",20
Vietnam,"28,397","12,512",300,"12,907",-,"2,191",487
Yemen,"3,206",362,23,"2,504",61,251,5
Zambia,803,33,46,475,30,211,8
Zimbabwe,918,6,155,449,43,260,5
All other countries,73,2,15,38,10,8,-
Unknown,"12,161",500,"4,250","2,354",297,"3,031","1,729"
